BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2D--3D--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3D--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3D--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3D--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3D--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--,2S,Accepts the Transfer
1C--1D--1H--1S--1N--2H--,3C,4-Card !S Support; max.; showing Ace of !C
1C--1D--1H--1S--1N--2H--,3D,4-Card !S Support; max.; showing Ace of !D; denies Ace of !C
1C--1D--1H--1S--1N--2H--,3H,4-Card !S Support; max.; showing Ace of !H; Denies Ace of !C or !D
1C--1D--1H--1S--1N--2H--2S--,2N,inv with 5 cards in !S
1C--1D--1H--1S--1N--2H--2S--,3C,Second Suit; Forcing to Game
1C--1D--1H--1S--1N--2H--2S--,3D,Second Suit; Forcing to Game
1C--1D--1H--1S--1N--2H--2S--,3H,Second Suit; Forcing to Game
1C--1D--1H--1S--1N--2H--2S--,3S,inv in !S
1C--1D--1H--1S--1N--2H--2S--,3N,Pass or Correct with 3+ cards in !S
1C--1D--1H--1S--1N--2H--2S--,4C,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2H--2S--,4D,Second Suit; inv to Slam
1C--1D--1H--1S--1N--2H--2S--,4H,Second Suit; inv to Slam
1C--1D--1H--1S--1N--2H--2S--,4S,Mildly inv to Slam
1C--1D--1H--1S--1N--2H--2S--4C--,4D,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--2S--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--2S--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--2S--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--2S--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--2S--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--,3D,Cue Bid for !S
1C--1D--1H--1S--1N--2H--3C--,3H,Cue Bid for !S; denies !D ctrls.
