BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1CDb1D--2D--2H--2S--2N--3C--,3D,Please read chat#relay for exact shape; interest in !c or NT
1CDb1D--2D--2H--2S--2N--3C--3D--,3H,5-4-2-2
1CDb1D--2D--2H--2S--2N--3C--3D--,3N,sing. !h
1CDb1D--2D--2H--2S--2N--3C--3D--,3S,sing. !s
1CDb1D--2D--2H--2S--2N--3C--,3H,relay for shape; sets !d
1CDb1D--2D--2H--2S--2N--3C--3H--,3N,sing. !s
1CDb1D--2D--2H--2S--2N--3C--3H--,3S,5-4-2-2
1CDb1D--2D--2H--2S--2N--3C--3H--,4C,sing. !h
1CDb1D--2D--2H--2S--2N--,3D,6+!c-4!d
1CDb1D--2D--2H--2S--2N--3D--,3H,relay for shape; !c interest
1CDb1D--2D--2H--2S--2N--3D--3H--,3N,short !h
1CDb1D--2D--2H--2S--2N--3D--3H--,3S,short !s
1CDb1D--2D--2H--2S--2N--3D--,3S,relay for shape; sets !d
1CDb1D--2D--2H--2S--2N--3D--3S--,3N,short !s
1CDb1D--2D--2H--2S--2N--3D--3S--,4C,short !h
1CDb1D--2D--2H--2S--,3C,
1CDb1D--2D--2H--2S--,3D,was invite with 4+!d; NF
1CDb1D--2D--2H--2S--,3H,asks !h stopper
1CDb1D--2D--2H--2S--,3S,asks !s stopper
1CDb1D--2D--2H--,3C,5+!c-4!d maximum
1CDb1D--2D--2H--3C--,3D,asks for shape; GAR
1CDb1D--2D--2H--3C--3D--,3H,5!c-4!d
1CDb1D--2D--2H--3C--3D--3H--,3S,asks exact shape; !c interest
1CDb1D--2D--2H--3C--3D--3H--3S--,3N,5-4-2-2
1CDb1D--2D--2H--3C--3D--3H--3S--,4C,sing !s
1CDb1D--2D--2H--3C--3D--3H--3S--,4D,sing. !h
1CDb1D--2D--2H--3C--3D--3H--,4C,asks exact shape; sets !d
1CDb1D--2D--2H--3C--3D--3H--4C--,4D,5-4-2-2
1CDb1D--2D--2H--3C--3D--3H--4C--,4H,sing. !s
1CDb1D--2D--2H--3C--3D--3H--4C--,4S,sing. !h
1CDb1D--2D--2H--3C--3D--,3N,6+!c-4!d; short !h
1CDb1D--2D--2H--3C--3D--,3S,6+!c-4!d; short !s
1CDb1D--2D--2H--3C--,3H,asks !h stopper
1CDb1D--2D--2H--3C--,3S,asks !s stopper
1CDb1D--2D--,2N,Please read chat#2NT transfer -                          a) !c signoff (preemptive)          b) 6+ great !d; at least mild slam interest                                  c) 5+!d-5+!c GF                       d) 6+!d-5M GF                         e) slammish splinter for !d
1CDb1D--2D--2N--,3C,forced
1CDb1D--2D--2N--3C--,3D,5+!d-5!c; GF
1CDb1D--2D--2N--3C--,3H,6+!d-5!h GF+
1CDb1D--2D--2N--3C--,3N,Please read chat#6+ solid or semisolid !d; mild slam interest; NF
1CDb1D--2D--2N--3C--,3S,6+!d-5!s GF+
1CDb1D--2D--2N--3C--,4C,Please read chat#6+ solid or semisolid !d; serious slam interest; !c cue
1CDb1D--2D--2N--3C--,4D,Please read chat#6+ solid or semisolid !d; serious slam interest; no !c cue
1CDb1D--2D--2N--3C--,4H,splinter for !d; serious slam interest
1CDb1D--2D--2N--3C--,4S,splinter for !d; serious slam interest
1CDb1D--2D--2N--3C--,--,preemptive raise
1CDb1D--2D--,2S,5+!d-4!s GF
1CDb1D--2D--2S--,2N,asks for shape; GAR relay
1CDb1D--2D--2S--2N--,3C,5!d-4!s; 12-15
1CDb1D--2D--2S--2N--3C--,3D,asks exact shape
1CDb1D--2D--2S--2N--3C--3D--,3H,5-4-2-2
1CDb1D--2D--2S--2N--3C--3D--,3N,sing. !c
1CDb1D--2D--2S--2N--3C--3D--,3S,sing. !h
1CDb1D--2D--2S--2N--,3D,6+!d-4!s; any strength
1CDb1D--2D--2S--2N--3D--,3H,asks strength/shape
1CDb1D--2D--2S--2N--3D--3H--,3N,12-15; short !c
1CDb1D--2D--2S--2N--3D--3H--,3S,12-15; short !h
1CDb1D--2D--2S--2N--3D--3H--,4C,16+; short !h
1CDb1D--2D--2S--2N--3D--3H--,4D,16+; short !c
1CDb1D--2D--2S--2N--,3H,5!d-4!s-2-2; 16+
1CDb1D--2D--2S--2N--,3N,5!d-4!s; sing. !c; 16-18
1CDb1D--2D--2S--2N--,3S,5!d-4!s; sing. !h; 16+
1CDb1D--2D--2S--2N--,4C,5!d-4!s sing. !c; 19+
