BBOalert
1C,1D,9-12HcP; 5+!D; NF
1C--1S--2D--3D--3H--4C--4D--,4H,Signoff
1C--1S--2D--3D--3H--4C--4D--,4N,ASK kings
1C--1S--2D--3D--3H--4C--4D--4N--,5C,0/4 kings
1C--1S--2D--3D--3H--4C--4D--4N--,5D,1 King
1C--1S--2D--3D--3H--4C--4D--4N--,5H,2 Kings
1C--1S--2D--3D--3H--4C--4D--4N--,5S,3 Kings
1C--1S--2D--3D--3H--4C--4D--,4S,Signoff
1C--1S--2D--3D--3H--4C--,4H,1 ace
1C--1S--2D--3D--3H--4C--4H--,4N,ASK kings
1C--1S--2D--3D--3H--4C--4H--4N--,5C,0/4 kings
1C--1S--2D--3D--3H--4C--4H--4N--,5D,1 King
1C--1S--2D--3D--3H--4C--4H--4N--,5H,2 Kings
1C--1S--2D--3D--3H--4C--4H--4N--,5S,3 Kings
1C--1S--2D--3D--3H--4C--4H--,4S,Signoff
1C--1S--2D--3D--3H--4C--4H--,5H,Signoff
1C--1S--2D--3D--3H--4C--,4N,3 aces
1C--1S--2D--3D--3H--4C--4N--,5C,ASK Kings
1C--1S--2D--3D--3H--4C--4N--5C--,5D,0/4 Kings
1C--1S--2D--3D--3H--4C--4N--5C--,5H,1 King
1C--1S--2D--3D--3H--4C--4N--5C--,5N,3 Kings
1C--1S--2D--3D--3H--4C--4N--5C--,5S,2 Kings
1C--1S--2D--3D--3H--4C--,4S,2 aces
1C--1S--2D--3D--3H--4C--4S--,4N,ASK kings
1C--1S--2D--3D--3H--4C--4S--4N--,5C,0/4 kings
1C--1S--2D--3D--3H--4C--4S--4N--,5D,1 King
1C--1S--2D--3D--3H--4C--4S--4N--,5H,2 Kings
1C--1S--2D--3D--3H--4C--4S--4N--,5S,3 Kings
1C--1S--2D--3D--3H--4C--4S--,5H,Signoff
1C--1S--2D--3D--3H--4C--4S--,5S,Signoff
1C--1S--2D--3D--3H--,4D,Signoff
1C--1S--2D--3D--3H--,4H,Signoff
1C--1S--2D--3D--3H--,4N,Blackwood 03/14
1C--1S--2D--3D--3H--,4S,Signoff
1C--1S--2D--3D--3H--,--,To play
1C--1S--2D--3D--,3N,Signoff
1C--1S--2D--3D--,3S,No stop
1C--1S--2D--3D--3S--,3N,Signoff
1C--1S--2D--3D--3S--,4C,ASK aces
1C--1S--2D--3D--3S--4C--,4D,0/4 aces
1C--1S--2D--3D--3S--4C--4D--,4H,Signoff
1C--1S--2D--3D--3S--4C--4D--,4N,ASK kings
1C--1S--2D--3D--3S--4C--4D--4N--,5C,0/4 kings
1C--1S--2D--3D--3S--4C--4D--4N--,5D,1 King
1C--1S--2D--3D--3S--4C--4D--4N--,5H,2 Kings
1C--1S--2D--3D--3S--4C--4D--4N--,5S,3 Kings
1C--1S--2D--3D--3S--4C--4D--,4S,Signoff
1C--1S--2D--3D--3S--4C--,4H,1 ace
1C--1S--2D--3D--3S--4C--4H--,4N,ASK kings
1C--1S--2D--3D--3S--4C--4H--4N--,5C,0/4 kings
1C--1S--2D--3D--3S--4C--4H--4N--,5D,1 King
1C--1S--2D--3D--3S--4C--4H--4N--,5H,2 Kings
1C--1S--2D--3D--3S--4C--4H--4N--,5S,3 Kings
1C--1S--2D--3D--3S--4C--4H--,4S,Signoff
1C--1S--2D--3D--3S--4C--4H--,5H,Signoff
1C--1S--2D--3D--3S--4C--,4N,3 aces
1C--1S--2D--3D--3S--4C--4N--,5C,ASK Kings
1C--1S--2D--3D--3S--4C--4N--5C--,5D,0/4 Kings
1C--1S--2D--3D--3S--4C--4N--5C--,5H,1 King
1C--1S--2D--3D--3S--4C--4N--5C--,5N,3 Kings
1C--1S--2D--3D--3S--4C--4N--5C--,5S,2 Kings
1C--1S--2D--3D--3S--4C--,4S,2 aces
1C--1S--2D--3D--3S--4C--4S--,4N,ASK kings
1C--1S--2D--3D--3S--4C--4S--4N--,5C,0/4 kings
1C--1S--2D--3D--3S--4C--4S--4N--,5D,1 King
1C--1S--2D--3D--3S--4C--4S--4N--,5H,2 Kings
1C--1S--2D--3D--3S--4C--4S--4N--,5S,3 Kings
1C--1S--2D--3D--3S--4C--4S--,5H,Signoff
1C--1S--2D--3D--3S--4C--4S--,5S,Signoff
1C--1S--2D--3D--3S--,4D,Signoff
1C--1S--2D--3D--3S--,4H,Signoff
1C--1S--2D--3D--3S--,4N,Blackwood 03/14
1C--1S--2D--3D--3S--,4S,Signoff
1C--1S--2D--3D--3S--,5D,Signoff
1C--1S--2D--3D--3S--,--,To play
1C--1S--2D--,3N,Signoff
1C--1S--2D--,4C,ASK aces
1C--1S--2D--4C--,4D,0/4 aces
1C--1S--2D--4C--4D--,4H,Signoff
1C--1S--2D--4C--4D--,4N,ASK kings
1C--1S--2D--4C--4D--4N--,5C,0/4 kings
1C--1S--2D--4C--4D--4N--,5D,1 King
1C--1S--2D--4C--4D--4N--,5H,2 Kings
1C--1S--2D--4C--4D--4N--,5S,3 Kings
1C--1S--2D--4C--4D--,4S,Signoff
1C--1S--2D--4C--,4H,1 ace
1C--1S--2D--4C--4H--,4N,ASK kings
1C--1S--2D--4C--4H--4N--,5C,0/4 kings
1C--1S--2D--4C--4H--4N--,5D,1 King
1C--1S--2D--4C--4H--4N--,5H,2 Kings
1C--1S--2D--4C--4H--4N--,5S,3 Kings
1C--1S--2D--4C--4H--,4S,Signoff
1C--1S--2D--4C--4H--,5H,Signoff
1C--1S--2D--4C--,4N,3 aces
1C--1S--2D--4C--4N--,5C,ASK Kings
1C--1S--2D--4C--4N--5C--,5D,0/4 Kings
1C--1S--2D--4C--4N--5C--,5H,1 King
1C--1S--2D--4C--4N--5C--,5N,3 Kings
1C--1S--2D--4C--4N--5C--,5S,2 Kings
1C--1S--2D--4C--,4S,2 aces
1C--1S--2D--4C--4S--,4N,ASK kings
1C--1S--2D--4C--4S--4N--,5C,0/4 kings
1C--1S--2D--4C--4S--4N--,5D,1 King
1C--1S--2D--4C--4S--4N--,5H,2 Kings
1C--1S--2D--4C--4S--4N--,5S,3 Kings
1C--1S--2D--4C--4S--,5H,Signoff
1C--1S--2D--4C--4S--,5S,Signoff
1C--1S--2D--,4D,CAB
1C--1S--2D--4D--,4H,No control
1C--1S--2D--4D--,4N,1st round control
1C--1S--2D--4D--,4S,2nd round control
1C--1S--2D--4D--,5C,Double control
1C--1S--2D--,4H,Signoff
1C--1S--2D--,4N,Blackwood 03/14
1C--1S--2D--,4S,Signoff
1C--1S--2D--,5C,Signoff
1C--1S--2D--,--,To play
1C--1S--,2H,12-13HcP; 4!H  +  4!C
1C--1S--2H--,2N,No stop
1C--1S--2H--2N--,3C,No stop
1C--1S--2H--2N--3C--,3H,Signoff
1C--1S--2H--2N--3C--,3N,Signoff
1C--1S--2H--2N--3C--,3S,Signoff
1C--1S--2H--2N--3C--,4C,ASK aces
1C--1S--2H--2N--3C--4C--,4D,0/4 aces
1C--1S--2H--2N--3C--4C--4D--,4H,Signoff
1C--1S--2H--2N--3C--4C--4D--,4N,ASK kings
1C--1S--2H--2N--3C--4C--4D--4N--,5C,0/4 kings
1C--1S--2H--2N--3C--4C--4D--4N--,5D,1 King
1C--1S--2H--2N--3C--4C--4D--4N--,5H,2 Kings
1C--1S--2H--2N--3C--4C--4D--4N--,5S,3 Kings
1C--1S--2H--2N--3C--4C--4D--,4S,Signoff
1C--1S--2H--2N--3C--4C--,4H,1 ace
1C--1S--2H--2N--3C--4C--4H--,4N,ASK kings
1C--1S--2H--2N--3C--4C--4H--4N--,5C,0/4 kings
1C--1S--2H--2N--3C--4C--4H--4N--,5D,1 King
1C--1S--2H--2N--3C--4C--4H--4N--,5H,2 Kings
1C--1S--2H--2N--3C--4C--4H--4N--,5S,3 Kings
1C--1S--2H--2N--3C--4C--4H--,4S,Signoff
1C--1S--2H--2N--3C--4C--4H--,5H,Signoff
1C--1S--2H--2N--3C--4C--,4N,3 aces
1C--1S--2H--2N--3C--4C--4N--,5C,ASK Kings
1C--1S--2H--2N--3C--4C--4N--5C--,5D,0/4 Kings
1C--1S--2H--2N--3C--4C--4N--5C--,5H,1 King
1C--1S--2H--2N--3C--4C--4N--5C--,5N,3 Kings
1C--1S--2H--2N--3C--4C--4N--5C--,5S,2 Kings
1C--1S--2H--2N--3C--4C--,4S,2 aces
1C--1S--2H--2N--3C--4C--4S--,4N,ASK kings
1C--1S--2H--2N--3C--4C--4S--4N--,5C,0/4 kings
1C--1S--2H--2N--3C--4C--4S--4N--,5D,1 King
1C--1S--2H--2N--3C--4C--4S--4N--,5H,2 Kings
1C--1S--2H--2N--3C--4C--4S--4N--,5S,3 Kings
1C--1S--2H--2N--3C--4C--4S--,5H,Signoff
1C--1S--2H--2N--3C--4C--4S--,5S,Signoff
1C--1S--2H--2N--3C--,4D,CAB
1C--1S--2H--2N--3C--4D--,4H,No control
1C--1S--2H--2N--3C--4D--,4N,1st round control
1C--1S--2H--2N--3C--4D--,4S,2nd round control
1C--1S--2H--2N--3C--4D--,5C,Double control
1C--1S--2H--2N--3C--,4H,Signoff
1C--1S--2H--2N--3C--,4S,Signoff
1C--1S--2H--2N--3C--,5C,Signoff
1C--1S--2H--2N--3C--,--,To play
1C--1S--2H--2N--,3D,No stop
1C--1S--2H--2N--3D--,3H,Signoff
1C--1S--2H--2N--3D--,3N,Signoff
1C--1S--2H--2N--3D--,3S,Signoff
1C--1S--2H--2N--3D--,4C,ASK aces
1C--1S--2H--2N--3D--4C--,4D,0/4 aces
1C--1S--2H--2N--3D--4C--4D--,4H,Signoff
1C--1S--2H--2N--3D--4C--4D--,4N,ASK kings
1C--1S--2H--2N--3D--4C--4D--4N--,5C,0/4 kings
1C--1S--2H--2N--3D--4C--4D--4N--,5D,1 King
1C--1S--2H--2N--3D--4C--4D--4N--,5H,2 Kings
1C--1S--2H--2N--3D--4C--4D--4N--,5S,3 Kings
1C--1S--2H--2N--3D--4C--4D--,4S,Signoff
1C--1S--2H--2N--3D--4C--,4H,1 ace
1C--1S--2H--2N--3D--4C--4H--,4N,ASK kings
1C--1S--2H--2N--3D--4C--4H--4N--,5C,0/4 kings
1C--1S--2H--2N--3D--4C--4H--4N--,5D,1 King
1C--1S--2H--2N--3D--4C--4H--4N--,5H,2 Kings
1C--1S--2H--2N--3D--4C--4H--4N--,5S,3 Kings
1C--1S--2H--2N--3D--4C--4H--,4S,Signoff
1C--1S--2H--2N--3D--4C--4H--,5H,Signoff
1C--1S--2H--2N--3D--4C--,4N,3 aces
1C--1S--2H--2N--3D--4C--4N--,5C,ASK Kings
1C--1S--2H--2N--3D--4C--4N--5C--,5D,0/4 Kings
1C--1S--2H--2N--3D--4C--4N--5C--,5H,1 King
1C--1S--2H--2N--3D--4C--4N--5C--,5N,3 Kings
1C--1S--2H--2N--3D--4C--4N--5C--,5S,2 Kings
1C--1S--2H--2N--3D--4C--,4S,2 aces
1C--1S--2H--2N--3D--4C--4S--,4N,ASK kings
1C--1S--2H--2N--3D--4C--4S--4N--,5C,0/4 kings
1C--1S--2H--2N--3D--4C--4S--4N--,5D,1 King
1C--1S--2H--2N--3D--4C--4S--4N--,5H,2 Kings
1C--1S--2H--2N--3D--4C--4S--4N--,5S,3 Kings
1C--1S--2H--2N--3D--4C--4S--,5H,Signoff
1C--1S--2H--2N--3D--4C--4S--,5S,Signoff
1C--1S--2H--2N--3D--,4D,CAB
1C--1S--2H--2N--3D--4D--,4H,No control
1C--1S--2H--2N--3D--4D--,4N,1st round control
1C--1S--2H--2N--3D--4D--,4S,2nd round control
1C--1S--2H--2N--3D--4D--,5C,Double control
1C--1S--2H--2N--3D--,4H,Signoff
1C--1S--2H--2N--3D--,4S,Signoff
1C--1S--2H--2N--3D--,5C,Signoff
1C--1S--2H--2N--3D--,--,To play
1C--1S--2H--2N--,3N,Stop OK
1C--1S--2H--2N--3N--,4C,ASK aces
1C--1S--2H--2N--3N--4C--,4D,0/4 aces
1C--1S--2H--2N--3N--4C--4D--,4H,Signoff
1C--1S--2H--2N--3N--4C--4D--,4N,ASK kings
1C--1S--2H--2N--3N--4C--4D--4N--,5C,0/4 kings
1C--1S--2H--2N--3N--4C--4D--4N--,5D,1 King
1C--1S--2H--2N--3N--4C--4D--4N--,5H,2 Kings
1C--1S--2H--2N--3N--4C--4D--4N--,5S,3 Kings
1C--1S--2H--2N--3N--4C--4D--,4S,Signoff
1C--1S--2H--2N--3N--4C--,4H,1 ace
1C--1S--2H--2N--3N--4C--4H--,4N,ASK kings
1C--1S--2H--2N--3N--4C--4H--4N--,5C,0/4 kings
1C--1S--2H--2N--3N--4C--4H--4N--,5D,1 King
1C--1S--2H--2N--3N--4C--4H--4N--,5H,2 Kings
1C--1S--2H--2N--3N--4C--4H--4N--,5S,3 Kings
1C--1S--2H--2N--3N--4C--4H--,4S,Signoff
1C--1S--2H--2N--3N--4C--4H--,5H,Signoff
1C--1S--2H--2N--3N--4C--,4N,3 aces
1C--1S--2H--2N--3N--4C--4N--,5C,ASK Kings
1C--1S--2H--2N--3N--4C--4N--5C--,5D,0/4 Kings
1C--1S--2H--2N--3N--4C--4N--5C--,5H,1 King
1C--1S--2H--2N--3N--4C--4N--5C--,5N,3 Kings
1C--1S--2H--2N--3N--4C--4N--5C--,5S,2 Kings
1C--1S--2H--2N--3N--4C--,4S,2 aces
1C--1S--2H--2N--3N--4C--4S--,4N,ASK kings
1C--1S--2H--2N--3N--4C--4S--4N--,5C,0/4 kings
1C--1S--2H--2N--3N--4C--4S--4N--,5D,1 King
1C--1S--2H--2N--3N--4C--4S--4N--,5H,2 Kings
1C--1S--2H--2N--3N--4C--4S--4N--,5S,3 Kings
1C--1S--2H--2N--3N--4C--4S--,5H,Signoff
1C--1S--2H--2N--3N--4C--4S--,5S,Signoff
1C--1S--2H--2N--3N--,4D,CAB
1C--1S--2H--2N--3N--4D--,4H,No control
1C--1S--2H--2N--3N--4D--,4N,1st round control
1C--1S--2H--2N--3N--4D--,4S,2nd round control
1C--1S--2H--2N--3N--4D--,5C,Double control
1C--1S--2H--2N--3N--,4H,Signoff
1C--1S--2H--2N--3N--,4S,Signoff
1C--1S--2H--2N--3N--,--,To play
1C--1S--2H--2N--,3S,No stop
1C--1S--2H--2N--3S--,3N,Signoff
1C--1S--2H--2N--3S--,4C,ASK aces
1C--1S--2H--2N--3S--4C--,4D,0/4 aces
1C--1S--2H--2N--3S--4C--4D--,4H,Signoff
1C--1S--2H--2N--3S--4C--4D--,4N,ASK kings
1C--1S--2H--2N--3S--4C--4D--4N--,5C,0/4 kings
1C--1S--2H--2N--3S--4C--4D--4N--,5D,1 King
1C--1S--2H--2N--3S--4C--4D--4N--,5H,2 Kings
1C--1S--2H--2N--3S--4C--4D--4N--,5S,3 Kings
1C--1S--2H--2N--3S--4C--4D--,4S,Signoff
1C--1S--2H--2N--3S--4C--,4H,1 ace
1C--1S--2H--2N--3S--4C--4H--,4N,ASK kings
1C--1S--2H--2N--3S--4C--4H--4N--,5C,0/4 kings
1C--1S--2H--2N--3S--4C--4H--4N--,5D,1 King
1C--1S--2H--2N--3S--4C--4H--4N--,5H,2 Kings
1C--1S--2H--2N--3S--4C--4H--4N--,5S,3 Kings
1C--1S--2H--2N--3S--4C--4H--,4S,Signoff
1C--1S--2H--2N--3S--4C--4H--,5H,Signoff
1C--1S--2H--2N--3S--4C--,4N,3 aces
1C--1S--2H--2N--3S--4C--4N--,5C,ASK Kings
1C--1S--2H--2N--3S--4C--4N--5C--,5D,0/4 Kings
1C--1S--2H--2N--3S--4C--4N--5C--,5H,1 King
1C--1S--2H--2N--3S--4C--4N--5C--,5N,3 Kings
1C--1S--2H--2N--3S--4C--4N--5C--,5S,2 Kings
1C--1S--2H--2N--3S--4C--,4S,2 aces
1C--1S--2H--2N--3S--4C--4S--,4N,ASK kings
1C--1S--2H--2N--3S--4C--4S--4N--,5C,0/4 kings
1C--1S--2H--2N--3S--4C--4S--4N--,5D,1 King
1C--1S--2H--2N--3S--4C--4S--4N--,5H,2 Kings
1C--1S--2H--2N--3S--4C--4S--4N--,5S,3 Kings
1C--1S--2H--2N--3S--4C--4S--,5H,Signoff
1C--1S--2H--2N--3S--4C--4S--,5S,Signoff
1C--1S--2H--2N--3S--,4D,CAB
1C--1S--2H--2N--3S--4D--,4H,No control
1C--1S--2H--2N--3S--4D--,4N,1st round control
1C--1S--2H--2N--3S--4D--,4S,2nd round control
1C--1S--2H--2N--3S--4D--,5C,Double control
1C--1S--2H--2N--3S--,4H,Signoff
1C--1S--2H--2N--3S--,4S,Signoff
1C--1S--2H--2N--3S--,5C,Signoff
1C--1S--2H--2N--3S--,--,To play
1C--1S--2H--,3N,Signoff
1C--1S--2H--,4C,ASK aces
1C--1S--2H--4C--,4D,0/4 aces
1C--1S--2H--4C--4D--,4H,Signoff
1C--1S--2H--4C--4D--,4N,ASK kings
1C--1S--2H--4C--4D--4N--,5C,0/4 kings
1C--1S--2H--4C--4D--4N--,5D,1 King
1C--1S--2H--4C--4D--4N--,5H,2 Kings
1C--1S--2H--4C--4D--4N--,5S,3 Kings
1C--1S--2H--4C--4D--,4S,Signoff
1C--1S--2H--4C--,4H,1 ace
1C--1S--2H--4C--4H--,4N,ASK kings
1C--1S--2H--4C--4H--4N--,5C,0/4 kings
1C--1S--2H--4C--4H--4N--,5D,1 King
1C--1S--2H--4C--4H--4N--,5H,2 Kings
1C--1S--2H--4C--4H--4N--,5S,3 Kings
1C--1S--2H--4C--4H--,4S,Signoff
1C--1S--2H--4C--4H--,5H,Signoff
1C--1S--2H--4C--,4N,3 aces
1C--1S--2H--4C--4N--,5C,ASK Kings
1C--1S--2H--4C--4N--5C--,5D,0/4 Kings
1C--1S--2H--4C--4N--5C--,5H,1 King
1C--1S--2H--4C--4N--5C--,5N,3 Kings
1C--1S--2H--4C--4N--5C--,5S,2 Kings
1C--1S--2H--4C--,4S,2 aces
1C--1S--2H--4C--4S--,4N,ASK kings
1C--1S--2H--4C--4S--4N--,5C,0/4 kings
1C--1S--2H--4C--4S--4N--,5D,1 King
1C--1S--2H--4C--4S--4N--,5H,2 Kings
1C--1S--2H--4C--4S--4N--,5S,3 Kings
1C--1S--2H--4C--4S--,5H,Signoff
1C--1S--2H--4C--4S--,5S,Signoff
1C--1S--2H--,4D,CAB
1C--1S--2H--4D--,4H,No control
1C--1S--2H--4D--,4N,1st round control
1C--1S--2H--4D--,4S,2nd round control
1C--1S--2H--4D--,5C,Double control
1C--1S--2H--,4H,Signoff
1C--1S--2H--,4S,Signoff
1C--1S--2H--,--,To play
1C--1S--,2N,15HcP; bal
1C--1S--2N--,3C,Stayman
1C--1S--2N--3C--,3D,4!H + 4!S
1C--1S--2N--3C--3D--,3H,Signoff
1C--1S--2N--3C--3D--,3N,Signoff
1C--1S--2N--3C--3D--,3S,Signoff
1C--1S--2N--3C--3D--,4C,ASK aces
1C--1S--2N--3C--3D--4C--,4D,0/4 aces
1C--1S--2N--3C--3D--4C--4D--,4H,Signoff
1C--1S--2N--3C--3D--4C--4D--,4N,ASK kings
1C--1S--2N--3C--3D--4C--4D--4N--,5C,0/4 kings
1C--1S--2N--3C--3D--4C--4D--4N--,5D,1 King
1C--1S--2N--3C--3D--4C--4D--4N--,5H,2 Kings
1C--1S--2N--3C--3D--4C--4D--4N--,5S,3 Kings
1C--1S--2N--3C--3D--4C--4D--,4S,Signoff
1C--1S--2N--3C--3D--4C--,4H,1 ace
1C--1S--2N--3C--3D--4C--4H--,4N,ASK kings
1C--1S--2N--3C--3D--4C--4H--4N--,5C,0/4 kings
1C--1S--2N--3C--3D--4C--4H--4N--,5D,1 King
1C--1S--2N--3C--3D--4C--4H--4N--,5H,2 Kings
1C--1S--2N--3C--3D--4C--4H--4N--,5S,3 Kings
1C--1S--2N--3C--3D--4C--4H--,4S,Signoff
1C--1S--2N--3C--3D--4C--4H--,5H,Signoff
1C--1S--2N--3C--3D--4C--,4N,3 aces
1C--1S--2N--3C--3D--4C--4N--,5C,ASK Kings
1C--1S--2N--3C--3D--4C--4N--5C--,5D,0/4 Kings
1C--1S--2N--3C--3D--4C--4N--5C--,5H,1 King
1C--1S--2N--3C--3D--4C--4N--5C--,5N,3 Kings
1C--1S--2N--3C--3D--4C--4N--5C--,5S,2 Kings
1C--1S--2N--3C--3D--4C--,4S,2 aces
1C--1S--2N--3C--3D--4C--4S--,4N,ASK kings
1C--1S--2N--3C--3D--4C--4S--4N--,5C,0/4 kings
1C--1S--2N--3C--3D--4C--4S--4N--,5D,1 King
1C--1S--2N--3C--3D--4C--4S--4N--,5H,2 Kings
1C--1S--2N--3C--3D--4C--4S--4N--,5S,3 Kings
1C--1S--2N--3C--3D--4C--4S--,5H,Signoff
1C--1S--2N--3C--3D--4C--4S--,5S,Signoff
1C--1S--2N--3C--3D--,4D,CAB
1C--1S--2N--3C--3D--4D--,4H,No control
1C--1S--2N--3C--3D--4D--,4N,1st round control
1C--1S--2N--3C--3D--4D--,4S,2nd round control
1C--1S--2N--3C--3D--4D--,5C,Double control
1C--1S--2N--3C--3D--,4H,Signoff
1C--1S--2N--3C--3D--,4S,Signoff
1C--1S--2N--3C--,3H,3-4-3-3
1C--1S--2N--3C--3H--,3N,Signoff
1C--1S--2N--3C--3H--,3S,Signoff
1C--1S--2N--3C--3H--,4C,ASK aces
1C--1S--2N--3C--3H--4C--,4D,0/4 aces
1C--1S--2N--3C--3H--4C--4D--,4H,Signoff
1C--1S--2N--3C--3H--4C--4D--,4N,ASK kings
1C--1S--2N--3C--3H--4C--4D--4N--,5C,0/4 kings
1C--1S--2N--3C--3H--4C--4D--4N--,5D,1 King
1C--1S--2N--3C--3H--4C--4D--4N--,5H,2 Kings
1C--1S--2N--3C--3H--4C--4D--4N--,5S,3 Kings
1C--1S--2N--3C--3H--4C--4D--,4S,Signoff
1C--1S--2N--3C--3H--4C--,4H,1 ace
1C--1S--2N--3C--3H--4C--4H--,4N,ASK kings
1C--1S--2N--3C--3H--4C--4H--4N--,5C,0/4 kings
1C--1S--2N--3C--3H--4C--4H--4N--,5D,1 King
1C--1S--2N--3C--3H--4C--4H--4N--,5H,2 Kings
1C--1S--2N--3C--3H--4C--4H--4N--,5S,3 Kings
1C--1S--2N--3C--3H--4C--4H--,4S,Signoff
1C--1S--2N--3C--3H--4C--4H--,5H,Signoff
1C--1S--2N--3C--3H--4C--,4N,3 aces
1C--1S--2N--3C--3H--4C--4N--,5C,ASK Kings
1C--1S--2N--3C--3H--4C--4N--5C--,5D,0/4 Kings
1C--1S--2N--3C--3H--4C--4N--5C--,5H,1 King
1C--1S--2N--3C--3H--4C--4N--5C--,5N,3 Kings
1C--1S--2N--3C--3H--4C--4N--5C--,5S,2 Kings
1C--1S--2N--3C--3H--4C--,4S,2 aces
1C--1S--2N--3C--3H--4C--4S--,4N,ASK kings
1C--1S--2N--3C--3H--4C--4S--4N--,5C,0/4 kings
1C--1S--2N--3C--3H--4C--4S--4N--,5D,1 King
1C--1S--2N--3C--3H--4C--4S--4N--,5H,2 Kings
1C--1S--2N--3C--3H--4C--4S--4N--,5S,3 Kings
1C--1S--2N--3C--3H--4C--4S--,5H,Signoff
1C--1S--2N--3C--3H--4C--4S--,5S,Signoff
1C--1S--2N--3C--3H--,4D,CAB
1C--1S--2N--3C--3H--4D--,4H,No control
1C--1S--2N--3C--3H--4D--,4N,1st round control
1C--1S--2N--3C--3H--4D--,4S,2nd round control
1C--1S--2N--3C--3H--4D--,5C,Double control
1C--1S--2N--3C--3H--,4H,Signoff
1C--1S--2N--3C--3H--,4S,Signoff
1C--1S--2N--3C--3H--,--,To play
1C--1S--2N--3C--,3N,No 4card MAJOR
1C--1S--2N--3C--3N--,4C,ASK aces
1C--1S--2N--3C--3N--4C--,4D,0/4 aces
1C--1S--2N--3C--3N--4C--4D--,4H,Signoff
1C--1S--2N--3C--3N--4C--4D--,4N,ASK kings
1C--1S--2N--3C--3N--4C--4D--4N--,5C,0/4 kings
1C--1S--2N--3C--3N--4C--4D--4N--,5D,1 King
1C--1S--2N--3C--3N--4C--4D--4N--,5H,2 Kings
1C--1S--2N--3C--3N--4C--4D--4N--,5S,3 Kings
1C--1S--2N--3C--3N--4C--4D--,4S,Signoff
1C--1S--2N--3C--3N--4C--,4H,1 ace
1C--1S--2N--3C--3N--4C--4H--,4N,ASK kings
1C--1S--2N--3C--3N--4C--4H--4N--,5C,0/4 kings
1C--1S--2N--3C--3N--4C--4H--4N--,5D,1 King
1C--1S--2N--3C--3N--4C--4H--4N--,5H,2 Kings
1C--1S--2N--3C--3N--4C--4H--4N--,5S,3 Kings
1C--1S--2N--3C--3N--4C--4H--,4S,Signoff
1C--1S--2N--3C--3N--4C--4H--,5H,Signoff
1C--1S--2N--3C--3N--4C--,4N,3 aces
1C--1S--2N--3C--3N--4C--4N--,5C,ASK Kings
1C--1S--2N--3C--3N--4C--4N--5C--,5D,0/4 Kings
1C--1S--2N--3C--3N--4C--4N--5C--,5H,1 King
1C--1S--2N--3C--3N--4C--4N--5C--,5N,3 Kings
1C--1S--2N--3C--3N--4C--4N--5C--,5S,2 Kings
1C--1S--2N--3C--3N--4C--,4S,2 aces
1C--1S--2N--3C--3N--4C--4S--,4N,ASK kings
1C--1S--2N--3C--3N--4C--4S--4N--,5C,0/4 kings
1C--1S--2N--3C--3N--4C--4S--4N--,5D,1 King
1C--1S--2N--3C--3N--4C--4S--4N--,5H,2 Kings
1C--1S--2N--3C--3N--4C--4S--4N--,5S,3 Kings
1C--1S--2N--3C--3N--4C--4S--,5H,Signoff
1C--1S--2N--3C--3N--4C--4S--,5S,Signoff
1C--1S--2N--3C--3N--,4D,CAB
1C--1S--2N--3C--3N--4D--,4H,No control
1C--1S--2N--3C--3N--4D--,4N,1st round control
1C--1S--2N--3C--3N--4D--,4S,2nd round control
1C--1S--2N--3C--3N--4D--,5C,Double control
1C--1S--2N--3C--3N--,4H,Signoff
1C--1S--2N--3C--3N--,4S,Signoff
1C--1S--2N--3C--3N--,--,To play
1C--1S--2N--3C--,3S,4-3-3-3
1C--1S--2N--3C--3S--,3N,Signoff
1C--1S--2N--3C--3S--,4C,ASK aces
1C--1S--2N--3C--3S--4C--,4D,0/4 aces
1C--1S--2N--3C--3S--4C--4D--,4H,Signoff
1C--1S--2N--3C--3S--4C--4D--,4N,ASK kings
1C--1S--2N--3C--3S--4C--4D--4N--,5C,0/4 kings
1C--1S--2N--3C--3S--4C--4D--4N--,5D,1 King
1C--1S--2N--3C--3S--4C--4D--4N--,5H,2 Kings
1C--1S--2N--3C--3S--4C--4D--4N--,5S,3 Kings
1C--1S--2N--3C--3S--4C--4D--,4S,Signoff
1C--1S--2N--3C--3S--4C--,4H,1 ace
1C--1S--2N--3C--3S--4C--4H--,4N,ASK kings
1C--1S--2N--3C--3S--4C--4H--4N--,5C,0/4 kings
1C--1S--2N--3C--3S--4C--4H--4N--,5D,1 King
1C--1S--2N--3C--3S--4C--4H--4N--,5H,2 Kings
1C--1S--2N--3C--3S--4C--4H--4N--,5S,3 Kings
1C--1S--2N--3C--3S--4C--4H--,4S,Signoff
1C--1S--2N--3C--3S--4C--4H--,5H,Signoff
1C--1S--2N--3C--3S--4C--,4N,3 aces
1C--1S--2N--3C--3S--4C--4N--,5C,ASK Kings
1C--1S--2N--3C--3S--4C--4N--5C--,5D,0/4 Kings
1C--1S--2N--3C--3S--4C--4N--5C--,5H,1 King
1C--1S--2N--3C--3S--4C--4N--5C--,5N,3 Kings
1C--1S--2N--3C--3S--4C--4N--5C--,5S,2 Kings
1C--1S--2N--3C--3S--4C--,4S,2 aces
1C--1S--2N--3C--3S--4C--4S--,4N,ASK kings
1C--1S--2N--3C--3S--4C--4S--4N--,5C,0/4 kings
1C--1S--2N--3C--3S--4C--4S--4N--,5D,1 King
